Phonemic,Katakana,PartOfSpeech
[na⸢ka⸣ɸuta],ナカフタ,名
[na⸢ka⸣buni],ナカブニ,名
[na⸢ka⸣buni],ナカブニ,名
[na⸢kamagaː⸣ra],ナカマガーラ,名
[na⸢kamagaː⸣ra],ナカマガーラ,名
[na⸢ka⸣mamiʦukeː],ナカマミツケー,名
[na⸢ka⸣mamiʦukeː],ナカマミツケー,名
[na⸢ka⸣mamura],ナカマムラ,名
[na⸢ka⸣mamura],ナカマムラ,名
[na⸢ga⸣mi],ナガミ,名
[na⸢ga⸣mi],ナガミ,名
[na⸢ka⸣miː],ナカミー,名
[na⸢ka⸣miː],ナカミー,名
[na⸢ka⸣miː],ナカミー,名
[na⸢ka⸣miː],ナカミー,名
[na⸢kamiː⸣nu ⸢ʃiːmunu],ナカミーヌシームヌ,連
[na⸢kamiː⸣nu ⸢ʃiːmunu],ナカミーヌシームヌ,連
[na⸢gami⸣ku],ナガミク,名
[na⸢gami⸣ku],ナガミク,名
[na⸢gami⸣kuː],ナガミクー,名
[na⸢gami⸣kuː],ナガミクー,名
[na⸢ka⸣miʧi],ナカミチ,名
[na⸢ka⸣miʧi],ナカミチ,名
[na⸢gami⸣ruŋ],ナガミルン,他動
[na⸢gami⸣ruŋ],ナガミルン,他動
[na⸢kamuka⸣ʃi],ナカムカシ,名
[na⸢kamuka⸣ʃi],ナカムカシ,名
[na⸢gamuti],ナガムティ,名
[na⸢gamuti],ナガムティ,名
[na⸢gamuti],ナガムティ,名
[na⸢gamuti],ナガムティ,名
[na⸢ga⸣munu],ナガムヌ,名
[na⸢ga⸣munu],ナガムヌ,名
[na⸢ka⸣muru],ナカムル,名
[na⸢ka⸣muru],ナカムル,名
[na⸢ga⸣muŋ],ナガムン,他動
[na⸢ga⸣muŋ],ナガムン,他動
[⸣nakajaː],ナカヤー,名
[⸣nakajaː],ナカヤー,名
[na⸢ka⸣jadu],ナカヤドゥ,名
[na⸢ka⸣jadu],ナカヤドゥ,名
[⸣naka ja⸢ni⸣jaŋ],ナカヤニヤン,連
[⸣naka ja⸢ni⸣jaŋ],ナカヤニヤン,連
[na⸢ka⸣jabi],ナカヤビ,名
[na⸢ka⸣jabi],ナカヤビ,名
[na⸢gajaburi],ナガヤブリ,名
[na⸢gajaburi],ナガヤブリ,名
[na⸢gajaŋ],ナガヤン,名
[na⸢gajaŋ],ナガヤン,名
[na⸢ka⸣juː],ナカユー,名
[na⸢gajuː],ナガユー,名
[na⸢ka⸣juː],ナカユー,名
[na⸢gajuː],ナガユー,名
[na⸢kajuː⸣kui],ナカユークイ,名
[na⸢kajuː⸣kui],ナカユークイ,名
[na⸢kajuk⸣ka],ナカユッカ,名
[na⸢kajuk⸣ka],ナカユッカ,名
[na⸢ka⸣ra],ナカラ,名
[⸢-nagara],ナガラ,接助
[na⸢ka⸣ra],ナカラ,名
[⸢-nagara],ナガラ,接助
[na⸢garairuŋ],ナガライルン,自動
[na⸢garairuŋ],ナガライルン,自動
[na⸢karaʔui⸣pu̥su],ナカラウイプス,名
[na⸢karaʔui⸣pu̥su],ナカラウイプス,名
[na⸢garauŋ],ナガラウン,自動
[na⸢garauŋ],ナガラウン,自動
[na⸢garaku],ナガラク,副
[na⸢garaku],ナガラク,副
[na⸢kara⸣tḁti],ナカラタティ,名
[na⸢kara⸣tḁti],ナカラタティ,名
[na⸢kara⸣niː],ナカラニー,名
[na⸢kara⸣niː],ナカラニー,名
[na⸢kara⸣bata],ナカラバタ,名
[na⸢kara⸣bata],ナカラバタ,名
[na⸢kara⸣ɸuni],ナカラフニ,名
[na⸢kara⸣ɸuni],ナカラフニ,名
[na⸢kara⸣miʧi],ナカラミチ,名
[na⸢kara⸣miʧi],ナカラミチ,名
[na⸢kara⸣munu],ナカラムヌ,名
[na⸢kara⸣munu],ナカラムヌ,名
[na⸢kara⸣jabi],ナカラヤビ,名
[na⸢kara⸣jabi],ナカラヤビ,名
[na⸢ga⸣ri],ナガリ,名
[na⸢ga⸣ri],ナガリ,名
[na⸢gawaʧirai],ナガワチライ,名
[na⸢gawaʧirai],ナガワチライ,名
[na⸢ka⸣wari],ナカワリ,名
[na⸢ka⸣wari],ナカワリ,名
[na⸢kaŋguʃi̥⸣ʧi],ナカングシチ,名
[na⸢kaŋguʃi̥⸣ʧi],ナカングシチ,名
[na⸢kan⸣teː],ナカンテー,名
[na⸢kan⸣teː],ナカンテー,名
[na⸢kan⸣teːnu ⸢jaʃi̥⸣ki],ナカンテーヌヤシキ,連
[na⸢kan⸣teːnu ⸢jaʃi̥⸣ki],ナカンテーヌヤシキ,連
[na⸢kam⸣bure],ナカンブレ,名
[na⸢kam⸣bure],ナカンブレ,名
[⸣nakamma],ナカンマ,名
[⸣nakamma],ナカンマ,名
[na⸢kiakasuŋ],ナキアカスン,自動
[na⸢kiakasuŋ],ナキアカスン,自動
[na⸢kiaʣa],ナキアザ,名
[na⸢kiaʣa],ナキアザ,名
[na⸢kikakaruŋ],ナキカカルン,自動
[na⸢kikakaruŋ],ナキカカルン,自動
[na⸢kigui],ナキグイ,名
[na⸢kigui],ナキグイ,名
[na⸢kikugaruŋ],ナキクガルン,自動
[na⸢kikugaruŋ],ナキクガルン,自動
[na⸢kikurasuŋ],ナキクラスン,自動
[na⸢kikurasuŋ],ナキクラスン,自動
[na⸢ki⸣ ʣa⸢man⸣duruŋ],ナキザマンドゥルン,連
[na⸢ki⸣ ʣa⸢man⸣duruŋ],ナキザマンドゥルン,連
[na⸢kiʤira],ナキジラ,名
[na⸢kiʤira],ナキジラ,名
[na⸢kinibi],ナキニビ,名
[na⸢kinibi],ナキニビ,名
[na⸢kibakari],ナキバカリ,名
[na⸢kibakari],ナキバカリ,名
[na⸢kibarai],ナキバライ,名
[na⸢kibarai],ナキバライ,名
[na⸢kibuː],ナキブー,名
[na⸢kibuː],ナキブー,名
[na⸢kibugari],ナキブガリ,名
[na⸢kibugari],ナキブガリ,名
[na⸢kibugari⸣ruŋ],ナキブガリルン,自動
[na⸢kibugari⸣ruŋ],ナキブガリルン,自動
[na⸢kibusaː],ナキブサー,名
[na⸢kibusaː],ナキブサー,名
[na⸢kiɸu̥ʧi],ナキフチ,名
[na⸢kiɸu̥ʧi],ナキフチ,名
[na⸢kimaːbi],ナキマービ,名
[na⸢kimaːbi],ナキマービ,名
[na⸢kimuni],ナキムニ,名
[na⸢kimuni],ナキムニ,名
[na⸢kijamuŋ],ナキヤムン,自動
[na⸢kijamuŋ],ナキヤムン,自動
[na⸢kiŋgui],ナキングイ,名
[na⸢kiŋgui],ナキングイ,名
[na⸢gui],ナグイ,名
[na⸢gui],ナグイ,名
[na⸢gusami],ナグサミ,名
[na⸢gusami],ナグサミ,名
[na⸢gusamiruŋ],ナグサミルン,他動
[na⸢gusamiruŋ],ナグサミルン,他動
[na⸢gusamuŋ],ナグサムン,他動
[na⸢gusamuŋ],ナグサムン,他動
[na⸢kuraː⸣su̥koː],ナクラースコー,副
[na⸢kuraː⸣su̥koː],ナクラースコー,副
[na⸢kuraː⸣ŋ],ナクラーン,形
[na⸢kuraː⸣ŋ],ナクラーン,形
[na⸢kuraː⸣ŋ],ナクラーン,形
[na⸢kuraː⸣ŋ],ナクラーン,形
[na⸢gurawaŋ],ナグラワン,固
[na⸢gurawaŋ],ナグラワン,固
[na⸢kuŋ],ナクン,自動
[⸢-na⸣kuŋ],ナクン,接尾
[na⸢kuŋ],ナクン,自動
[⸢-na⸣kuŋ],ナクン,接尾
[⸣nakeː],ナケー,名
[⸣nakeː],ナケー,名
[⸣nakeː],ナケー,名
[⸣nakeː],ナケー,名
[⸣nasaː],ナサー,名
[⸣nasaː],ナサー,名
[⸣nasaː],ナサー,名
[⸣nasaː],ナサー,名
[na⸢sagasuŋ],ナサガスン,他動
[na⸢sagasuŋ],ナサガスン,他動
[na⸢sa⸣ki],ナサキ,名
[na⸢sa⸣ki],ナサキ,名
[na⸢sa⸣suŋ],ナサスン,他動
[na⸢sa⸣suŋ],ナサスン,他動
[na⸢sa⸣bi],ナサビ,名
[na⸢sa⸣bi],ナサビ,名
[na⸢sarakasa⸣ra],ナサラカサラ,名
[na⸢sarakasa⸣ra],ナサラカサラ,名
[na⸢sa⸣rikaː],ナサリカー,副
[na⸢sa⸣rikaː],ナサリカー,副
[na⸢sa⸣riŋ],ナサリン,自動
[na⸢sa⸣riŋ],ナサリン,自動
[na⸢saŋ⸣ʔuja],ナサンウヤ,名
[na⸢saŋ⸣ʔuja],ナサンウヤ,名
[na⸢saŋ⸣ffa],ナサンッふァ,名
[na⸢saŋ⸣ffa],ナサンッふァ,名
[na⸢ʃiʔaga⸣ruŋ],ナシアガルン,自動
[na⸢ʃiʔaga⸣ruŋ],ナシアガルン,自動
[na⸢ʃi⸣ʔatu],ナシアトゥ,名
[na⸢ʃi⸣ʔatu],ナシアトゥ,名
[⸢nasi̥ka⸣sa ⸢suŋ],ナシゥカサスン,連
[⸢nasi̥ka⸣sa ⸢suŋ],ナシゥカサスン,連
[⸢nasi̥ka⸣saŋ],ナシゥカサン,形
[⸢nasi̥ka⸣saŋ],ナシゥカサン,形
[⸢nasi̥ka⸣saŋ],ナシゥカサン,形
[⸢nasi̥ka⸣saŋ],ナシゥカサン,形
[⸢naʃi̥ki],ナシキ,名
[⸢naʃi̥ki],ナシキ,名
[⸢naʃi̥kikaʃi̥⸣ki],ナシキカシキ,名
[⸢naʃi̥kikaʃi̥⸣ki],ナシキカシキ,名
[⸢naʃi̥kimuni],ナシキムニ,名
[⸢naʃi̥kimuni],ナシキムニ,名
[⸢naʃi̥kiruŋ],ナシキルン,他動
[⸢naʃi̥kiruŋ],ナシキルン,他動
[⸢naʃi̥kuŋ],ナシクン,他動
[⸢naʃi̥kuŋ],ナシクン,他動
[na⸢ʃi⸣ʃi̥ki],ナシシキ,名
[na⸢ʃi⸣ʃi̥ki],ナシシキ,名
[na⸢ʃiʣoː⸣ʤi],ナシゾージ,名
[na⸢ʃiʣoː⸣ʤi],ナシゾージ,名
[⸣naʃikkiraː],ナシッキラー,名
[⸣naʃikkiraː],ナシッキラー,名
[na⸢ʃik⸣kuru],ナシックル,名
[na⸢ʃik⸣kuru],ナシックル,名
[na⸢ʃi⸣ffa],ナシッふァ,名
[na⸢ʃi⸣ffa],ナシッふァ,名
[na⸢ʃi⸣nu ⸣ʔuja],ナシヌウヤ,連
[na⸢ʃi⸣nuʔuja],ナシヌウヤ,名
[na⸢ʃi⸣nu ⸣ʔuja],ナシヌウヤ,連
[na⸢ʃi⸣nuʔuja],ナシヌウヤ,名
[na⸢ʃinu⸣ffa],ナシヌッふァ,名
[na⸢ʃinu⸣ffa],ナシヌッふァ,名
[⸣naʃipanʤoː],ナシパンジョー,名
[⸣naʃipanʤoː],ナシパンジョー,名
[na⸢ʃi⸣mai],ナシマイ,名
[na⸢ʃi⸣mai],ナシマイ,名
[na⸢ʃijuː⸣suŋ],ナシユースン,自動
[na⸢ʃijuː⸣suŋ],ナシユースン,自動
[na⸢ʃiŋ⸣gata],ナシンガタ,名
[na⸢ʃiŋ⸣gata],ナシンガタ,名
[⸢nasu̥kuŋ],ナスクン,他動
[⸢nasu̥kuŋ],ナスクン,他動
[na⸢su⸣bi],ナスビ,名
[na⸢su⸣bi],ナスビ,名
[⸣nasuŋ],ナスン,他動
[⸣nasuŋ],ナスン,他動
[⸣nasuŋ],ナスン,他動
[⸣nasuŋ],ナスン,他動
[⸣nada],ナダ,名
[⸣nada],ナダ,名
[na⸢da⸣ka],ナダカ,名
[na⸢da⸣ka],ナダカ,名
[⸣nadaguruguruː],ナダグルグルー,副
[⸣nadaguruguruː],ナダグルグルー,副
[na⸢daʃi̥turuŋkeː⸣ri],ナダシトゥルンケーリ,副
[na⸢daʃi̥turuŋkeː⸣ri],ナダシトゥルンケーリ,副
[na⸢daʣuː⸣waŋ],ナダズーワン,形
[na⸢daʣuː⸣waŋ],ナダズーワン,形
[⸣nada ⸢hoː⸣suŋ],ナダホースン,連
[⸣nada ⸢hoː⸣suŋ],ナダホースン,連
[na⸢damaː⸣ruŋ],ナダマールン,自動
[na⸢damaː⸣ruŋ],ナダマールン,自動
[na⸢dami⸣ruŋ],ナダミルン,他動
[na⸢dami⸣ruŋ],ナダミルン,他動
[na⸢da⸣muŋ],ナダムン,他動
[na⸢da⸣muŋ],ナダムン,他動
[na⸢dajaʃiː],ナダヤシー,連体
[na⸢dajaʃiː],ナダヤシー,連体
[na⸢dajas⸣saŋ],ナダヤッサン,形
[na⸢dajas⸣saŋ],ナダヤッサン,形
[na⸢dajoː⸣ŋ],ナダヨーン,形
[na⸢dajoː⸣ŋ],ナダヨーン,形
[na⸢dara⸣ka],ナダラカ,名
[na⸢dara⸣ka],ナダラカ,名
[na⸢darakasuŋ],ナダラカスン,他動
[na⸢darakasuŋ],ナダラカスン,他動
[na⸢darakamiʧi],ナダラカミチ,名
[na⸢darakamiʧi],ナダラカミチ,名
[na⸢darakuŋ],ナダラクン,他動
[na⸢darakuŋ],ナダラクン,他動
[na⸢iʧi],ナチ,名
[na⸢iʧi],ナチ,名
[na⸢ʧiʔaʃibu],ナチアシブ,名
[na⸢ʧiʔaʃibu],ナチアシブ,名
[na⸢ʧiami],ナチアミ,名
[na⸢ʧiami],ナチアミ,名
[na⸢ʧiʔamoːri],ナチアモーリ,名
[na⸢ʧiʔamoːri],ナチアモーリ,名
[na⸢ʧi⸣kiŋ],ナチキン,名
[na⸢ʧi⸣kiŋ],ナチキン,名
[na⸢ʧimaki],ナチマキ,名
[na⸢ʧimaki],ナチマキ,名
[na⸢ʧi⸣munu],ナチムヌ,名
[na⸢ʧi⸣munu],ナチムヌ,名
[na⸢ʦaː⸣ra],ナツァーラ,名
[na⸢ʦaː⸣ra],ナツァーラ,名
[na⸢ʦagasuŋ],ナツァガスン,他動
[na⸢ʦagasuŋ],ナツァガスン,他動
[na⸢ʦaguŋ],ナツァグン,自動
[na⸢ʦaguŋ],ナツァグン,自動
[na⸢ʦarakaʦa⸣ra],ナツァラカツァラ,副
[na⸢ʦa⸣rakaʦara],ナツァラカツァラ,名
[na⸢ʦarakaʦa⸣ra],ナツァラカツァラ,副
[na⸢ʦa⸣rakaʦara],ナツァラカツァラ,名
[⸢nat⸣ʧiŋ],ナッチン,名
[⸢nat⸣ʧiŋ],ナッチン,名
[⸢nat⸣ʧiŋ],ナッチン,名
[⸢nat⸣ʧiŋ],ナッチン,名
[⸢nattu⸣ku],ナットゥク,名
[⸢nattu⸣ku],ナットゥク,名
[⸢na⸣ti],ナティ,接尾
[⸢na⸣ti],ナティ,接尾
[⸢na⸣ti],ナティ,接尾
[⸢na⸣ti],ナティ,接尾
[na⸢dimaː⸣suŋ],ナディマースン,他動
[na⸢dimaː⸣suŋ],ナディマースン,他動
[na⸢di⸣ruŋ],ナディルン,他動
[na⸢di⸣ruŋ],ナディルン,他動
[⸣nadu],ナドゥ,名
[⸣nadu],ナドゥ,名
[⸣nadu],ナドゥ,名
[⸣nadu],ナドゥ,名
[⸣naduŋ],ナドゥン,他動
[⸣naduŋ],ナドゥン,他動
[⸣nana],ナナ,名
[⸣nana],ナナ,名
[na⸢nai⸣ra],ナナイラ,名
[na⸢nai⸣ra],ナナイラ,名
[na⸢nakasa⸣bi],ナナカサビ,名
[na⸢nakasa⸣bi],ナナカサビ,名
[na⸢nakuru⸣bi ⸢jaːʔuki],ナナクルビヤーウキ,連
[na⸢nakuru⸣bi ⸢jaːʔuki],ナナクルビヤーウキ,連
[na⸢nasai⸣nu ⸣pana],ナナサイヌパナ,連
[na⸢nasai⸣nu ⸣pana],ナナサイヌパナ,連
[na⸢na⸣ʃi̥ki],ナナシキ,名
[na⸢na⸣ʃi̥ki],ナナシキ,名
[na⸢naʃi̥ki⸣ffa],ナナシキッふァ,名
[na⸢naʃi̥ki⸣ffa],ナナシキッふァ,名
[na⸢nasuː⸣nu na⸢na⸣su̥ku],ナナスーヌナナスク,連
[na⸢nasuː⸣nu na⸢na⸣su̥ku],ナナスーヌナナスク,連
[na⸢natam⸣buː],ナナタンブー,名
[na⸢natam⸣buː],ナナタンブー,名
[na⸢na⸣ʧi],ナナチ,名
[na⸢na⸣ʧi],ナナチ,名
[na⸢naʧim⸣buʃi],ナナチンブシ,名
[na⸢naʧim⸣buʃi],ナナチンブシ,名
[na⸢nak⸣ku],ナナック,名
[na⸢nak⸣ku],ナナック,名
[na⸢nat⸣ʧi],ナナッチ,名
[na⸢nat⸣ʧi],ナナッチ,名
[na⸢nat⸣ʧi],ナナッチ,名
[na⸢nat⸣ʧi],ナナッチ,名
[na⸢na⸣ti],ナナティ,名
[na⸢na⸣ti],ナナティ,名
[na⸢nati⸣nu ⸢sok⸣koː],ナナティヌソッコー,連
[na⸢nati⸣nu ⸢sok⸣koː],ナナティヌソッコー,連
[na⸢na⸣tu],ナナトゥ,名
[na⸢na⸣tu],ナナトゥ,名
[nanik⸢kura],ナニックラ,副
[nanik⸢kura],ナニックラ,副
[⸣naha],ナハ,名
[⸣naba],ナバ,名
[⸣naha],ナハ,名
[⸣naba],ナバ,名
[na⸢ban⸣doː],ナバンドー,名
[na⸢ban⸣doː],ナバンドー,名
[⸣nabi],ナビ,名
[⸣nabi],ナビ,名
[na⸢biʔuti⸣ɸu̥ʧi],ナビウティフチ,名
[na⸢biʔuti⸣ɸu̥ʧi],ナビウティフチ,名
[⸣nabikama],ナビカマ,名
[⸣nabikama],ナビカマ,名
[⸣nabikuːsaː],ナビクーサー,名
[⸣nabikuːsaː],ナビクーサー,名
[⸣nabiʃi̥keː],ナビシケー,名
[⸣nabiʃi̥keː],ナビシケー,名
[na⸢bit⸣ʦu],ナビッツ,名
[na⸢bit⸣ʦu],ナビッツ,名
[na⸢bit⸣ʦommaː],ナビッツォンマー,固
[na⸢bit⸣ʦommaː],ナビッツォンマー,固
[na⸢bi⸣nu ⸣kuː],ナビヌクー,連
[na⸢bi⸣nu ⸣kuː],ナビヌクー,連
[na⸢bi⸣nu ⸣tiː],ナビヌティー,連
[na⸢bi⸣nu ⸣tiː],ナビヌティー,連
[na⸢bi⸣nu pi̥⸢sa⸣bi],ナビヌピサビ,連
[na⸢bi⸣nu pi̥⸢sa⸣bi],ナビヌピサビ,連
[na⸢bi⸣nu ⸢piŋgu],ナビヌピング,連
[na⸢bi⸣nu ⸢piŋgu],ナビヌピング,連
[na⸢biŋ⸣ɸu̥ta],ナビンフタ,名
[na⸢biŋ⸣ɸu̥ta],ナビンフタ,名
[na⸢buttaː⸣ruŋ],ナブッタールン,自動
[na⸢buttaː⸣ruŋ],ナブッタールン,自動
[na⸢but⸣ʦaːŋ],ナブッツァーン,形
[na⸢but⸣ʦaːŋ],ナブッツァーン,形
[na⸢buraːt⸣ʦaŋ],ナブラーッツァン,形
[na⸢buraːt⸣ʦaŋ],ナブラーッツァン,形
[nabu⸢raːnaburaː⸣ʃi],ナブラーナブラーシ,副
[nabu⸢raːnaburaː⸣ʃi],ナブラーナブラーシ,副
[⸣nabeː],ナベー,名
[⸣nabeː],ナベー,名
[na⸢beː⸣ma],ナベーマ,名
[na⸢beː⸣ma],ナベーマ,名
[na⸢beː⸣ra],ナベーラ,名
[na⸢beː⸣ra],ナベーラ,名
[na⸢beː⸣raʃiː],ナベーラシー,名
[na⸢beː⸣raʃiː],ナベーラシー,名
[na⸢beː⸣radana],ナベーラダナ,名
[na⸢beː⸣radana],ナベーラダナ,名
[⸣nabemmaː],ナベンマー,名
[⸣nabemmaː],ナベンマー,名
[⸣nabemmateː],ナベンマテー,名
[⸣nabemmateː],ナベンマテー,名
[nama-],ナマ,名
[nama-],ナマ,接頭
[nama-],ナマ,名
[nama-],ナマ,接頭
[namaː⸢nama⸣ʃi],ナマーナマシ,副
[namaː⸢nama⸣ʃi],ナマーナマシ,副
[na⸢ma⸣ʔaʃi],ナマアシ,名
[na⸢ma⸣ʔaʃi],ナマアシ,名
[na⸢ma⸣ʔiː],ナマイー,名
[na⸢ma⸣ʔiː],ナマイー,名
[na⸢ma⸣ʔiː],ナマイー,名
[na⸢ma⸣ʔiː],ナマイー,名
[na⸢mai⸣ʣu],ナマイズ,名
[na⸢mai⸣ʣu],ナマイズ,名
[na⸢ma⸣ʔuŋ],ナマウン,名
[na⸢ma⸣ʔuŋ],ナマウン,名
[na⸢ma⸣kaː],ナマカー,名
[na⸢ma⸣kaː],ナマカー,名
[na⸢ma⸣kaʣa],ナマカザ,名
[na⸢ma⸣kaʣa],ナマカザ,名
[na⸢ma⸣kiː],ナマキー,名
[na⸢ma⸣kiː],ナマキー,名
[na⸢ma⸣kiʤi],ナマキジ,名
[na⸢ma⸣kiʤi],ナマキジ,名
[na⸢maki⸣munu],ナマキムヌ,名
[na⸢maki⸣munu],ナマキムヌ,名
[na⸢maki⸣ruŋ],ナマキルン,自動
[na⸢maki⸣ruŋ],ナマキルン,自動
[na⸢ma⸣gumi],ナマグミ,名
[na⸢ma⸣gumi],ナマグミ,名
[na⸢makura⸣ʃi],ナマクラシ,名
[na⸢makura⸣ʃi],ナマクラシ,名
[na⸢ma⸣kuŋ],ナマクン,他動・自動
[na⸢ma⸣kuŋ],ナマクン,他動・自動
[na⸢makoː⸣ma],ナマコーマ,名
[na⸢makoː⸣ma],ナマコーマ,名
[na⸢ma⸣ʣari],ナマザリ,名
[na⸢ma⸣ʣari],ナマザリ,名
[na⸢ma⸣ʣarikiː],ナマザリキー,名
[na⸢ma⸣ʣarikiː],ナマザリキー,名
[na⸢ma⸣ʃi],ナマシ,名
[na⸢ma⸣ʃi],ナマシ,名
[na⸢ma⸣ʃiː],ナマシー,名
[na⸢ma⸣ʃiː],ナマシー,名
[na⸢ma⸣ʃi̥ki],ナマシキ,名
[na⸢ma⸣ʃiki],ナマシキ,名
[na⸢ma⸣ʃi̥ki],ナマシキ,名
[na⸢ma⸣ʃiki],ナマシキ,名
[na⸢maʃi̥ki⸣kaʣa],ナマシキカザ,名
[na⸢maʃi̥ki⸣kaʣa],ナマシキカザ,名
[na⸢maʃi̥keː⸣na],ナマシケーナ,副
[na⸢maʃi̥keː⸣na],ナマシケーナ,副
[na⸢ma⸣ʃimi],ナマシミ,名
[na⸢ma⸣ʃimi],ナマシミ,名
[na⸢ma⸣ʤiraː],ナマジラー,名
[na⸢ma⸣ʤiraː],ナマジラー,名
[na⸢maʤira⸣suŋ],ナマジラスン,他動
[na⸢maʤira⸣suŋ],ナマジラスン,他動
[na⸢maʤira⸣suŋ],ナマジラスン,他動
[na⸢maʤira⸣suŋ],ナマジラスン,他動
[na⸢maʤira⸣suŋ],ナマジラスン,他動
[na⸢maʤira⸣suŋ],ナマジラスン,他動
[na⸢maʤiri⸣ffai],ナマジリッふァイ,名
[na⸢maʤiri⸣ffai],ナマジリッふァイ,名
[na⸢maʤiri⸣ɸui],ナマジリフイ,名
[na⸢maʤiri⸣ɸui],ナマジリフイ,名
[na⸢ma⸣ʤiruŋ],ナマジルン,自動
[na⸢ma⸣ʤiruŋ],ナマジルン,自動
[na⸢masubu⸣ru],ナマスブル,名
[na⸢masubu⸣ru],ナマスブル,名
[na⸢masuburu⸣jaŋ],ナマスブルヤン,名
[na⸢masuburu⸣jaŋ],ナマスブルヤン,名
[na⸢ma⸣taki],ナマタキ,名
[na⸢ma⸣taki],ナマタキ,名
[na⸢matamu⸣nu],ナマタムヌ,名
[na⸢matamu⸣nu],ナマタムヌ,名
[na⸢ma⸣ssa],ナマッサ,名
[na⸢ma⸣ssa],ナマッサ,名
[na⸢massari⸣kaʣa],ナマッサリカザ,名
[na⸢massari⸣kaʣa],ナマッサリカザ,名
[na⸢ma⸣ssusu],ナマッス,名
[na⸢ma⸣ssusu],ナマッス,名
[na⸢matoː⸣ɸu],ナマトーフ,名
[na⸢matoː⸣ɸu],ナマトーフ,名
[na⸢ma⸣duː],ナマドゥー,名
[na⸢ma⸣duː],ナマドゥー,名
[na⸢ma⸣niː],ナマニー,名
[na⸢ma⸣niː],ナマニー,名
[na⸢ma⸣niku],ナマニク,名
[na⸢ma⸣niku],ナマニク,名
[na⸢ma⸣paː],ナマパー,名
[na⸢ma⸣paː],ナマパー,名
[na⸢ma⸣paː],ナマパー,名
[na⸢ma⸣paː],ナマパー,名
[na⸢mapati⸣munu],ナマパティムヌ,名
[na⸢mapati⸣munu],ナマパティムヌ,名
[na⸢ma⸣barai],ナマバライ,名
[na⸢ma⸣barai],ナマバライ,名
[na⸢ma⸣puni],ナマプニ,名
[na⸢ma⸣puni],ナマプニ,名
[na⸢mapuri⸣munu],ナマプリムヌ,名
[na⸢mapuri⸣munu],ナマプリムヌ,名
[na⸢ma⸣mai],ナママイ,名
[na⸢ma⸣mai],ナママイ,名
[na⸢mamiː⸣su],ナマミース,名
[na⸢mamiː⸣su],ナマミース,名
[na⸢ma⸣miʤi],ナマミジ,名
[na⸢ma⸣miʤi],ナマミジ,名
[na⸢ma⸣munu],ナマムヌ,名
[na⸢ma⸣munu],ナマムヌ,名
[na⸢mara⸣suŋ],ナマラスン,他動
[na⸢mara⸣suŋ],ナマラスン,他動
[na⸢mara⸣suŋ],ナマラスン,他動
[na⸢mara⸣suŋ],ナマラスン,他動
[na⸢ma⸣ri],ナマリ,名
[na⸢ma⸣ri],ナマリ,名
[na⸢ma⸣ruŋ],ナマルン,自動
[na⸢ma⸣ruŋ],ナマルン,自動
[na⸢ma⸣ruŋ],ナマルン,自動
[na⸢ma⸣ruŋ],ナマルン,自動
[na⸢ma⸣ruŋ],ナマルン,自動
[na⸢ma⸣ruŋ],ナマルン,自動
[na⸢manda-],ナマンダ,接頭
[na⸢manda-],ナマンダ,接頭
[na⸢mandaʔakubi],ナマンダアクビ,名
[na⸢mandaʔakubi],ナマンダアクビ,名
[na⸢mandaʔiki],ナマンダイキ,名
[na⸢mandaʔiki],ナマンダイキ,名
[na⸢mandaʔibi],ナマンダイビ,名
[na⸢mandaʔibi],ナマンダイビ,名
[na⸢mandaʔuːmi],ナマンダウーミ,名
[na⸢mandaʔuːmi],ナマンダウーミ,名
[na⸢mandaʔuːmi],ナマンダウーミ,名
[na⸢mandaʔuːmi],ナマンダウーミ,名
[na⸢mandaʔubui],ナマンダウブイ,名
[na⸢mandaʔubui],ナマンダウブイ,名
[na⸢mandakaːraki],ナマンダカーラキ,名
[na⸢mandakaːraki],ナマンダカーラキ,名
[na⸢mandakaiʃi],ナマンダカイシ,名
[na⸢mandakaiʃi],ナマンダカイシ,名
[na⸢mandakaman⸣da],ナマンダカマンダ,副
[na⸢mandakaman⸣da],ナマンダカマンダ,副
[na⸢mandakanʣari],ナマンダカンザリ,名
[na⸢mandakanʣari],ナマンダカンザリ,名
[na⸢mandakuraʃi],ナマンダクラシ,名
[na⸢mandakuraʃi],ナマンダクラシ,名
[na⸢mandaʃiː],ナマンダシー,名
[na⸢mandaʃiː],ナマンダシー,名
[na⸢mandaʃi̥ki],ナマンダシキ,名
[na⸢mandaʃi̥ki],ナマンダシキ,名
[na⸢mandaʃi̥ki],ナマンダシキ,名
[na⸢mandaʃi̥ki],ナマンダシキ,名
[na⸢mandaʃigutu],ナマンダシグトゥ,名
[na⸢mandaʃigutu],ナマンダシグトゥ,名
[na⸢mandaʃini],ナマンダシニ,名
[na⸢mandaʃini],ナマンダシニ,名
[na⸢manda⸣suːpisaːru],ナマンダスーピサール,名
[na⸢manda⸣suːpisaːru],ナマンダスーピサール,名
[na⸢mandasu̥kuri],ナマンダスクリ,名
[na⸢mandasu̥kuri],ナマンダスクリ,名
[na⸢mandasuri],ナマンダスリ,名
[na⸢mandasuri],ナマンダスリ,名
[na⸢mandasuri],ナマンダスリ,名
[na⸢mandasuri],ナマンダスリ,名
[na⸢mandasoːri],ナマンダソーリ,名
[na⸢mandasoːri],ナマンダソーリ,名
