noisy_input,clean_katakana_target,phonemic_target
サムン,サムン,[⸣samuŋ]
フヒフルン,フビブルン,[ɸu⸢bi⸣ buruŋ]
シキダイ,シキダイ,[ʃi̥⸢kidai]
ティンスー,ティンスー,[⸢tinsuː]
パナキ,パナギ,[pa⸢na⸣gi]
シラカアタンメエ,シラガータンメー,[ʃi⸢ra⸣gaːtammeː]
カ,ガ,[ga]
ウヤキパンジヨウ,ウヤキパンジョウ,[ʔu⸢ja⸣kipanʤoː]
ナレ,ナーレー,[⸢naːre⸣ː]
バリミー,バリミー,[ba⸢rimiː]
クワイルン,クワイルン,[ku⸢wai⸣ruŋ]
タチマーリトゥンマーリ,タチマーリトゥンマーリ,[tḁ⸢ʧimaː⸣ri ⸢tummaːri]
クシナカ,クシナカ,[ku̥⸢ʃinaka]
トゥスクン,トゥスクン,[⸢tusu̥⸣kuŋ]
パタッカルン,パダッカルン,[pa⸢dakkaruŋ]
パチ,パチ,[pḁ⸢ʧi]
ナダマールン,ナダマールン,[na⸢damaː⸣ruŋ]
ミーブシ,ミーブシ,[⸢miː⸣buʃi]
ユードゥーシ,ユードゥーシ,[⸢juːduː⸣si]
アティ,アティ,[ʔa⸢ti]
パー,パー,[⸢paː]
イチ,イチ,[ʔi⸢ʧi]
ヒ,ビー,[⸣biː]
パヤアリヤン,パヤーリヤン,[pa⸢jaːri⸣jaŋ]
アクスン,アクスン,[⸣ʔaku ⸢suŋ]
タイヤッサン,ダイヤッサン,[⸢dai jas⸣saŋ]
ウーカタ,ウーカタ,[⸢ʔuːkata]
フクルン,フクルン,[ɸu̥⸢kuruŋ]
ンーナナキ,ンーナナキ,[⸢ʔnːnanaki]
ニナル,ニーナル,[⸣niːnaru]
シザミドーンッふァ,シザミドーンッふァ,[ʃi⸢ʣamidoːŋ⸣ffa]
パチヌツふア,パチヌッふァ,[pḁ⸢ʧinu⸣ f⸢fa]
ミシナータクトゥ,ミシナータクトゥ,[miʃi⸢naːta⸣kutu]
ナキハライ,ナキバライ,[na⸢kibarai]
バシキルン,バシキルン,[⸢baʃi̥kiruŋ]
アチアチシ,アチーアチーシ,[ʔa⸢ʧiːʔaʧiː⸣ʃi]
フカタア,フカダー,[ɸu̥⸢ka⸣daː]
ユムニッタン,ユムニッターン,[ju⸢munit⸣taːŋ]
キヌユダ,キーヌユダ,[⸢kiːnu⸣juda]
ブトゥ,ブトゥ,[bu⸢tu]
バカヤシミルン,バカヤシミルン,[ba⸢ka⸣ja ʃi⸢miruŋ]
オシキ,オーシキ,[⸢ʔoːʃiki]
カアラシキ,カーラシキ,[⸢kaːra⸣ʃi̥ki]
ニンニン,ニンニン,[⸢nin⸣niŋ]
ユウクイジラマ,ユークイジラマ,[⸢juːkuiʤira⸣ma]
ドゥーナマラシ,ドゥーナマラシ,[⸣duːnamaraʃi]
クモオマ,クモーマ,[ku⸢moːma]
ビキパナ,ビキパナ,[bi⸢kipana]
キビツサン,キビッサン,[ki⸢bis⸣saŋ]
バタダイ,バタダイ,[ba⸢ta⸣dai]
パンタルン,パンタルン,[⸢pan⸣taruŋ]
ナマスブルヤン,ナマスブルヤン,[na⸢masuburu⸣jaŋ]
スウヨオ,スーヨー,[⸣suːjoː]
ピイサイ,ピーザイ,[⸢piː⸣ʣai]
ピイイキ,ピーイキ,[⸢piː⸣ʔiki]
ナカビ,ナカビ,[na⸢ka⸣bi]
ティーナールン,ティーナールン,[⸣tiː ⸢naːruŋ]
ナマジラスン,ナマジラスン,[na⸢maʤira⸣suŋ]
サン,サン,[⸣saŋ]
シタコルン,シタコールン,[⸣ʃi̥ta ⸢koː⸣ruŋ]
マチバールン,マチバールン,[ma⸢ʧibaːruŋ]
マミナチャンプル,マミナーチャンプルー,[ma⸢minaːʧam⸣puruː]
シゥカン,シゥカン,[si̥⸢kan-]
スクッチナムヌ,スクッチナムヌ,[su̥⸢kutʧina munu]
カラニ,カラニー,[ka⸢ra⸣niː]
アウツサリムヌ,アウッサリムヌ,[⸢ʔaussari⸣munu]
ナカイス,ナガイズ,[na⸢ga⸣ʔiʣu]
ヒスンカスン,ビスンカスン,[bi⸢suŋkasuŋ]
キンコオニガイ,キンコーニガイ,[⸢kiŋkoːnigai]
ヌルシラリワ,ヌールシラリワ,[⸢nuː⸣ru ʃi⸢rariwa]
シゴオ,シゴー,[ʃi⸢goː]
ガカルン,ガカルン,[ga⸢ka⸣ruŋ]
ピナイサキ,ピナイサキ,[pi⸢naisaki]
カジマル,カジマール,[ka⸢ʤimaːru]
パナリ,パナリ,[pa⸢na⸣ri]
ジッパーマ,ジッパーマ,[ʤip⸢paː⸣ma]
パジンヌシー,パジンヌシー,[pa⸢ʤinnu⸣ ʃiː]
ヤヒマリ,ヤビマリ,[ja⸢bi⸣mari]
ダッふァースン,ダッふァースン,[⸢daffaː⸣suŋ]
ト,トー,[⸣toː]
ブーブ,ブーブ,[⸢buː⸣bu]
ムトゥハキ,ムトゥバキ,[mu⸢tu⸣baki]
ヨオンナア,ヨーンナー,[⸢joːnnaː]
バリ,バリ,[ba⸢ri]
パリマアルン,パリマールン,[pa⸢rimaː⸣ruŋ]
フカズミ,フカズミ,[ɸu̥⸢kaʣumi]
ウルムチ,ウールムチ,[⸢ʔuːrumuʧi]
シゥカンッふァースン,シゥカンッふァースン,[si̥⸢kaŋffaː⸣suŋ]
シトゥヌムヌ,シトゥヌムヌ,[ʃi̥⸢tu⸣nu ⸣munu]
コズシ,コーズーシ,[⸢koːʣuː⸣ʃi]
タツタア,タッター,[⸢tattaː]
パナシケー,パナシケー,[pa⸢naʃi̥keː]
トウリミイカヒミイ,トゥリミーカビミー,[⸣turimiː ka⸢bi⸣miː]
ウヤアンツン,ウヤーンツン,[ʔu⸢jaːn⸣ʦuŋ]
マダクン,マダクン,[ma⸢da⸣kuŋ]
フナシマリ,ブナジマリ,[bu⸢naʤimari]
アウヌン,アウヌン,[⸢ʔaunuŋ]
ヌーシター,ヌーシター,[⸣nuːʃi̥taː]
ミントーリルン,ミントーリルン,[⸣min ⸢toːri⸣ruŋ]
スウ,スー,[⸣suː]
キムフクン,キムフグン,[ki⸢mu⸣ɸuguŋ]
ウマナデイカマナデイ,ウマナディカマナディ,[ʔu⸢manadikama⸣nadi]
バカン,バカーン,[ba⸢kaː⸣ŋ]
バアキ,バーキ,[⸢baː⸣ki]
クハメエカハメエスン,クバメーカバメースン,[ku⸢ba⸣meːkabameː ⸢suŋ]
シルナヌ,シルナーヌ,[⸣ʃiru ⸢naː⸣nu]
ビザカスン,ビザーカスン,[bi⸢ʣaːkasuŋ]
トゥリダカ,トゥリダカ,[tu⸢rida⸣ka]
ニンヌタミシ,ニンヌタミシ,[⸢nin⸣nu ta⸢mi⸣ʃi]
マウル,マーウール,[⸢maːʔuːru]
パリマービ,パリマービ,[pa⸢rimaː⸣bi]
ブリッカイスン,ブリッカイスン,[bu⸢rikkaisuŋ]
ティーヤニヤン,ティーヤニヤン,[⸢tiːjani⸣jaŋ]
キムウクン,キムウクン,[⸣kimu ʔu⸢kuŋ]
フカーフカー,フカーフカー,[ɸu̥⸢kaːɸu̥kaː]
ノスン,ノースン,[⸢noː⸣suŋ]
イーラマーリ,イーラマーリ,[⸢ʔiːramaːri]
ッサリカアリ,ッサリカーリ,[⸣ssarikaːri]
タビマール,タビマール,[ta⸢bimaː⸣ru]
ナラリパマ,ナラリパマ,[na⸢ra⸣ripama]
メエラドウンチ,メーラドゥンチ,[⸢meːradunʧi]
アガクン,アガクン,[ʔa⸢ga⸣kuŋ]
シキルン,シキルン,[ʃi̥⸢kiruŋ]
パダヌベエン,パダヌベーン,[pa⸢danubeː⸣ŋ]
イヒアハ,イヒアハー,[ʔi⸢çiʔahaː]
キラアリン,キラーリン,[ki⸢raːriŋ]
モー,モー,[⸣moː]
ピ,ピー,[⸢piː]
アルムヌナアンムヌ,アルムヌナーンムヌ,[⸣ʔarumunu ⸢naːm⸣munu]
ピイタムチ,ピーダムチ,[⸢piːdamu⸣ʧi]
スリックル,スーリックル,[⸢suːrik⸣kuru]
ピキマシ,ピキマーシ,[pi̥⸢kimaːʃi]
サアユウ,サーユー,[⸢saː⸣juː]
イイリハナ,イーリバナ,[⸢ʔiːribana]
ザムチ,ザームチ,[⸣ʣaːmuʧi]
チヨー,チョー,[⸣ʧoː]
シマフトゥル,シマブドゥル,[ʃi⸢mabudu⸣ru]
パナライ,パーナライ,[⸣paːnarai]
アギムヌ,アギムヌ,[ʔa⸢gimunu]
マツン,マーツン,[⸢maː⸣ʦuŋ]
ヤドゥチン,ヤドゥチン,[ja⸢du⸣ʧiŋ]
サキタリナヒ,サキタリナビ,[sa⸢kitari⸣nabi]
ティップスディ,ティップスディ,[⸢tippusudi]
ピッケマ,ピッケーマ,[pi⸢keː⸣ma]
ソヌナンムニ,ソーヌナーンムニ,[⸢soːnu naːm⸣ muni]
フムン,フムン,[ɸu⸢muŋ]
イナムヌ,イナムヌ,[ʔi⸢namunu]
ウダラクン,ウダラクン,[ʔu⸢dara⸣kuŋ]
アシシキルン,アジシキルン,[ʔa⸢ʤi⸣ ʃi̥⸢ki⸣ruŋ]
マアタマシ,マータマシ,[⸢maːtamaʃi]
シウカソリ,シゥカソーリ,[si̥⸢kasoː⸣ri]
ウテイウテイ,ウティウティ,[ʔu⸢ti⸣uti]
マチバアルン,マチバールン,[ma⸢ʧibaːruŋ]
ナマリ,ナマリ,[na⸢ma⸣ri]
カーチー,カーチー,[⸢kaː⸣ʧiː]
カンガカル,カンガカル,[⸢kaŋgaka⸣ru]
パルヌミイ,パルヌミー,[pa⸢ru⸣numiː]
イイル,イール,[⸢ʔiː⸣ru]
クウサン,クーサン,[⸢kuː⸣saŋ]
パーラパーラ,パーラパーラ,[⸢paːrapaːra]
フカトウー,フカトゥー,[ɸu̥⸢ka⸣tuː]
ッサクサイ,ッサクサイ,[s⸢sakusai]
サンヌティジ,サンヌティジ,[⸢san⸣nu ti⸢ʤi]
ヤ,ヤ,[⸣-ja]
フヨン,フヨーン,[ɸu⸢joː⸣ŋ]
アガリザトゥ,アガリザトゥ,[ʔa⸢gari⸣ʣatu]
キボン,キーボーン,[⸢kiː⸣boːŋ]
メエクプス,メークプス,[⸢meːkupu̥su]
タハクフクン,タバクフクン,[ta⸢ba⸣ku ⸣ɸu̥kuŋ]
ビザーカスン,ビザーカスン,[bi⸢ʣaːkasuŋ]
イマムヌ,イマムヌ,[ʔi⸢ma⸣munu]
カラスウ,カラスー,[ka⸢rasuː]
ニイブタア,ニーブター,[⸣niːbutaː]
アガヨー,アガヨー,[ʔa⸢gajoː]
ピマッふァイシクトゥ,ピマッふァイシグトゥ,[pi⸢maffaiʃigutu]
ウキナタビ,ウキナータビ,[ʔu⸢kinaː⸣tabi]
テーラ,テーラ,[teːra]
キイヌマガレエ,キーヌマガレー,[⸢kiː⸣nu ma⸢gareː]
シキシイグ,シキシーグ,[ʃi̥⸢kiʃiːgu]
アマガサ,アマガサ,[ʔa⸢maga⸣sa]
トウシテエ,トゥシテー,[⸣tu ʃi̥⸢teː]
イッケナ,イッケナ,[ʔik⸢kena]
シデイツクル,シディックル,[ʃi⸢dik⸣kuru]
キンサ,キンサ,[⸢kin⸣sa]
アブアブスン,アブアブスン,[ʔa⸢buʔabu suŋ]
ビチカンガイ,ビチカンガイ,[bi⸢ʧikaŋ⸣gai]
パジキサ,パジキサー,[⸣paʤiki̥saː]
クバヌパームチ,クバヌパームチ,[ku⸢bampaːmuʧi]
キリキザムン,キリキザムン,[ki⸢rikiʣa⸣muŋ]
ドゥムトゥン,ドゥームトゥン,[⸣duː ⸣mutuŋ]
パルパク,パルパク,[pa⸢ru⸣paku]
フニンジョー,フニンジョー,[ɸu⸢ninʤoː]
アマシュー,アマシュー,[ʔa⸢ma⸣ʃuː]
ウタスン,ウタスン,[ʔu⸢ta⸣suŋ]
ナカバヤブリ,ナカバヤブリ,[na⸢kabajabu⸣ri]
ニヤア,ニヤー,[⸣nijaː]
タマシ,タマシ,[ta⸢ma⸣ʃi]
ウブキー,ウブキー,[ʔu⸢bu⸣kiː]
チルカミブシ,チルカミブシ,[ʧi⸢rukamibuʃi]
プスピサ,プスピサ,[pu̥⸢su⸣pi̥sa]
ミードゥル,ミードゥル,[⸢miː⸣duru]
タヤッサーク,タヤッサーク,[ta⸢jassaːku]
ナカスン,ナガスン,[na⸢ga⸣suŋ]
ミジイル,ミジイル,[mi⸢ʤi⸣ʔiru]
ピキシキルン,ピキシキルン,[pi̥⸢kiʃi̥kiruŋ]
メラドゥンチ,メーラドゥンチ,[⸢meːradunʧi]
マーマチ,マーマチ,[⸢maːmaʧi]
シカボ,シカボー,[ʃi̥⸢ka⸣boː]
ハカパ,バカパー,[ba⸢ka⸣paː]
ウチユ,ウチユ,[ʔu⸢ʧiju]
ナラアシ,ナラーシ,[na⸢raː⸣ʃi]
シミルン,シミルン,[ʃi⸢mi⸣ruŋ]
ヌチミー,ヌチミー,[nu⸢ʧi⸣miː]
ドゥーヤーラーン,ドゥーヤーラーン,[⸢duːjaː⸣raːŋ]
ピヤピヤシ,ピーヤピーヤシ,[piː⸢japiːja⸣ʃi]
ナルン,ナルン,[⸣naruŋ]
スクン,スクン,[⸣su̥kuŋ]
ウイットースン,ウイットースン,[⸢ʔuittoːsuŋ]
ヌウナアクイナア,ヌーナークイナー,[⸣nuːnaː ⸢kui⸣naː]
パヤスリ,パヤスーリ,[pa⸢jasuː⸣ri]
ヌチキシルン,ヌチキシルン,[⸣nuʧi ki̥⸢ʃi⸣ruŋ]
イカラシジ,イカーラシジ,[⸣ʔikaːra ⸣ʃiʤi]
ジイシンカ,ジーシンカ,[⸣ʤiːʃiŋka]
ニサマ,ニザマ,[ni⸢ʣama]
カイスン,カイスン,[⸢kai⸣suŋ]
ゴシタン,ゴーシタン,[⸢goːʃitaŋ]
ソー,ソー,[⸢soː]
カルン,カールン,[⸢kaːruŋ]
ピキサールン,ピキサールン,[pi̥⸢kisaːruŋ]
キイ,キー,[⸣kiː]
ヌギッふァイ,ヌギッふァイ,[nu⸢giffai]
ハカンカイルン,バカンガイルン,[ba⸢kaŋgai⸣ruŋ]
プリウン,プリウン,[pu⸢ri⸣ʔuŋ]
スグリルン,スグリルン,[su⸢guriruŋ]
タアチタアチ,ダーチダーチ,[daː⸢ʧidaːʧi]
ビ,ビー,[⸣biː]
ウキナータビ,ウキナータビ,[ʔu⸢kinaː⸣tabi]
ナマキー,ナマキー,[na⸢ma⸣kiː]
ギーズーワン,ギーズーワン,[⸢giːʣuː⸣waŋ]
イタランムヌ,イタランムヌ,[ʔi⸢taram⸣ munu]
ウカタ,ウーカタ,[⸢ʔuːkata]
マギラ,マーギラ,[⸢maːgira]
トウマア,トゥマー,[tu⸢maː]
トゥミルン,トゥミルン,[tu⸢mi⸣ruŋ]
フッカイスン,フッカイスン,[⸢ɸukkaisuŋ]
トゥリユシルン,トゥリユシルン,[tu⸢rijuʃi⸣ruŋ]
ナカシル,ナカジル,[⸣nakaʤiru]
クバヌパアオンギ,クバヌパーオンギ,[ku⸢banupaːʔoŋ⸣gi]
ウヤマウン,ウヤマウン,[ʔu⸢jamauŋ]
シラアスン,シラースン,[ʃi⸢raː⸣suŋ]
イイソンカチ,イーソンガチ,[⸢ʔiː⸣ soŋgaʧi]
アカプスマ,アガプスマ,[ʔa⸢gapusuma]
イキシマキ,イキシーマーキ,[⸣ʔiki ⸢ʃiːmaːki]
イシブクジー,イシブクジー,[ʔi⸢ʃibukuʤiː]
トゥムレエヌカボザアテエ,トゥムレーヌカボザーテー,[tu⸢mureːnu⸣ kabaʣaːteː]
クンデー,クンデー,[⸢kun⸣deː]
ウブムニ,ウブムニ,[ʔu⸢bu⸣muni]
シニシタフ,シニシタフ,[ʃi⸢niʃitaɸu]
バタコールン,バタコールン,[⸣bata ⸢koː⸣ruŋ]
コッチイ,コッチー,[⸢kot⸣ʧiː]
クラフン,クラブン,[ku⸢rabuŋ]
ヌウンガナ,ヌーンガナ,[⸢nuːʔŋga⸣na]
ブトウフガシムヌ,ブトゥフガシムヌ,[butu⸢ɸugaʃimunu]
トゥクットオン,トゥクットーン,[tu̥⸢kuttoː⸣ŋ]
ムチンキイ,ムチンキー,[mu⸢ʧiŋkiː]
トゥムレヌイサザテ,トゥムレーヌイサザーテー,[tu⸢mureːnu⸣ ʔisaʣaːteː]
バンゾンガニ,バンゾンガニ,[⸢banʣoŋ⸣gani]
ピダキ,ピダキ,[⸣pidaki]
アヌシジ,アーヌシジ,[⸢ʔaː⸣nu ⸣ʃiʤi]
ティタウン,ティダウン,[⸣tidauŋ]
プスマウチ,プスマウチ,[pu̥⸢sumaʔuʧi]
アヤンマー,アヤンマー,[ʔa⸢jam⸣maː]
パダムス,パダムス,[pa⸢da⸣musu]
トゥイシミルン,トゥイシミルン,[⸢tuiʃimiruŋ]
カカルン,カカルン,[kḁ⸢ka⸣ruŋ]
ギュシナ,ギューシナ,[⸢gjuːʃina]
ハクン,バクン,[⸣bakuŋ]
トゥシヌマール,トゥシヌマール,[tu̥⸢ʃi⸣nu ⸢maːru]
オナマ,オーナマー,[ʔoː⸢na⸣maː]
トゥリスウブ,トゥリスーブ,[tu⸢risuː⸣bu]
サル,サール,[⸢saːru]
ピッサリカザ,ピーッサリカザ,[⸢piːssari⸣kaʣa]
ッサソオリ,ッサソーリ,[s⸢sasoː⸣ri]
マサン,マサーン,[ma⸢saː⸣ŋ]
ソーフントー,ソーフントー,[⸢soːɸuntoː]
シビジナ,シビジナー,[ʃi⸢biʤinaː]
テイ,ティー,[⸣tiː]
シンターナリマンターナリ,シンターナリマンターナリ,[⸣ʃintaːnari ⸣mantaːnari]
トーフヌイラキムヌ,トーフヌイラキムヌ,[⸢toːɸu⸣nu ʔiraki⸣munu]
オオラアマアレエ,オーラーマーレー,[⸢ʔoːraːmaːreː]
バカツサイ,バカッサイ,[ba⸢ka⸣ssai]
ビーソーラン,ビーソーラン,[⸢biːsoː⸣raŋ]
フタパリ,フタパリ,[ɸu̥⸢ta⸣pari]
ウヤフコ,ウヤフコー,[⸣ʔujaɸu̥koː]
パリドゥシラリル,パリドゥシラリル,[pa⸢ri⸣du ʃi⸢rariru]
カングトゥ,カングトゥ,[⸢kaŋgu⸣tu]
フットゥル,ブットゥル,[⸢but⸣turu]
ナマ,ナーマ,[⸢-naː⸣ma]
ナダグルグル,ナダグルグルー,[⸣nadaguruguruː]
シシカタ,シジカタ,[si⸢ʣi⸣kata]
カーニ,カーニ,[kaː⸢ni]
クシコン,クジコーン,[⸣kuʤi ⸢koː⸣ŋ]
トゥカサア,トゥカザー,[tu̥⸢ka⸣ʣaː]
パティルマ,パティルマ,[pa⸢tiruma]
ピサスン,ピサスン,[pi̥⸢sa⸣suŋ]
カクン,カクーン,[kḁ⸢kuːŋ]
ビザルン,ビザルン,[bi⸢ʣaruŋ]
ウリカジ,ウリカジ,[ʔu⸢ri⸣kaʤi]
シーシカブン,シーシカブン,[⸢ʃiː⸣ʃi ⸣kabuŋ]
ザアムトウ,ザームトゥ,[⸢ʣaː⸣mutu]
ンコンコ,ンゴーンゴー,[ʔŋ⸢goːŋgoː]
ヤサハタッふァ,ヤーサバタッふァ,[⸢jaː⸣sa ⸣bataffa]
シラガタンメ,シラガータンメー,[ʃi⸢ra⸣gaːtammeː]
ブブ,ブーブ,[⸢buː⸣bu]
ウイ,ウイ,[⸣ʔui]
シチンガチウートゥリ,シチンガチウートゥリ,[ʃi̥⸢ʧiŋgaʧiʔuː⸣turi]
シカン,シカーン,[ʃi̥⸢kaː⸣ŋ]
ムチヌウルン,ムチヌールン,[mu⸢ʧi nuːruŋ]
トゥリサグン,トゥリサグン,[tu⸢ri⸣saguŋ]
グマア,グマー,[⸣gumaː]
ソオニチ,ソーニチ,[⸢soːni⸣ʧi]
トゥナルピライ,トゥナルピライ,[tu⸢narupirai]
キモオナアヌ,キモーナーヌ,[⸣kimoː ⸢naː⸣nu]
キンコスクサイ,キンコースクサイ,[⸢kiŋkoːsu̥kusai]
ミイ,ミー,[⸢miː]
キータティルン,キータティルン,[⸢kiːtati⸣ruŋ]
シラヤ,シラヤー,[⸣ʃirajaː]
ヤサクチサ,ヤーサクチサ,[⸢jaː⸣saku̥ʧisa]
ナナティ,ナナティ,[na⸢na⸣ti]
ナンツァガニ,ナンツァガニ,[⸢nanʦa⸣gani]
ター,ター,[⸣taː]
ナマンダビー,ナマンダビー,[na⸢mandabiː]
シトゥナイルン,シトゥナイルン,[ʃi̥⸢tunai⸣ruŋ]
ヤイマピジルー,ヤイマピジルー,[⸢jaimapiʤiruː]
ドゥーマーラー,ドゥーマーラー,[⸣duːmaːraː]
サーリ,サーリ,[⸣-saːri]
タムヌイフン,タムヌイブン,[ta⸢mu⸣nu ʔi⸢buŋ]
ヒサアルン,ビザールン,[bi⸢ʣaːruŋ]
ドウクナイ,ドゥークナイ,[⸢duː⸣kunai]
ニヒスコオル,ニビスコール,[ni⸢bisu̥koːru]
ミシンタラ,ミジンダラ,[mi⸢ʤin⸣dara]
アブ,アブ,[⸣ʔabu]
マカナイ,マカナイ,[ma⸢ka⸣nai]
ヌーヌー,ヌーヌー,[⸣nuːnuː]
モシェンマ,モーシェンマー,[⸢moː⸣ʃemmaː]
ウスバユシ,ウスバユシ,[ʔu⸢su⸣ba ⸣juʃi]
キザリグスク,キザリグスク,[ki⸢ʣarigusuku]
ヌ,ヌ,[⸣-nu]
ヨイシヤア,ヨイシヤー,[⸢joiʃi⸣jaː]
パンヌウトウ,パンヌウトゥ,[⸢pan⸣nu ʔu⸢tu]
ヌ,ヌ,[⸣-nu]
カヌパタ,カーヌパタ,[⸢kaːnupata]
ナシヒ,ナーシビー,[⸢naːʃibiː]
ッスマリコーマ,ッスマリコーマ,[s⸢sumarikoː⸣ma]
カジェーラ,カジェーラ,[ka⸢ʤeːra]
ウシックナ,ウーシックナー,[⸢ʔuːʃik⸣kunaː]
スウパニ,スーパニ,[⸢suː⸣pani]
トウマダア,トゥマダー,[tu⸢madaː]
サパルン,サパールン,[sḁ⸢paːruŋ]
アラダティルン,アラダティルン,[ʔa⸢radati⸣ruŋ]
ニーラスク,ニーラスク,[⸣niːrasu̥ku]
トウミルン,トゥミルン,[tu⸢mi⸣ruŋ]
アマタルン,アマダルン,[ʔa⸢ma⸣daruŋ]
タアテイナアン,ターティナーン,[⸢taːti naːŋ]
トースン,トースン,[⸢toː⸣suŋ]
ムトゥン,ムトゥン,[⸣mutuŋ]
フンカトウ,ブンカドゥ,[⸢buŋ⸣kadu]
トオフン,トーブン,[⸢toː⸣buŋ]
アキルン,アキルン,[ʔa⸢kiruŋ]
アアザ,アーザ,[⸢ʔaː⸣ʣa]
キムサニヤン,キムサニヤン,[ki⸢musani⸣jaŋ]
シデインガルン,シディンガールン,[ʃi⸢diŋgaː⸣ruŋ]
ユブシ,ユブシ,[ju⸢bu⸣ʃi]
タックヮールン,ダックヮールン,[⸢dakkwaː⸣ruŋ]
プウルウタ,プールウタ,[⸢puːru⸣ʔuta]
タヤツサン,タヤッサン,[ta⸢jas⸣saŋ]
オオカマア,オーカマー,[⸣ʔoːkamaː]
ユクシ,ユクシ,[ju⸢ku⸣ʃi]
タヤンブンナヌ,タヤンブーンナーヌ,[ta⸢jam⸣buːn ⸢naː⸣nu]
カナイウシ,カナイウシ,[ka⸢nai⸣ʔuʃi]
ウブアミ,ウブアミ,[ʔu⸢bu⸣ʔami]
シキダ,シキダ,[ʃi̥⸢ki⸣da]
カタパアムヌ,カタパームヌ,[kḁ⸢tapaː⸣munu]
ナアレエ,ナーレー,[⸢naːre⸣ː]
ジューブン,ジューブン,[ʤuː⸢buŋ]
アティソー,アティソー,[ʔa⸢ti⸣soː]
ミンクジリムヌ,ミンクジリムヌ,[⸢miŋkuʤiri⸣munu]
ニイブルミイ,ニーブルミー,[⸢niːburumiː]
クハムニ,クバムニ,[ku⸢ba⸣muni]
ティッサイルン,ティーッサイルン,[⸢tiː⸣ s⸢sai⸣ruŋ]
ミイミカアミ,ミーミカーミ,[⸢miː⸣mikaːmi]
ウイスカルン,ウイスガルン,[⸢ʔuisugaruŋ]
トウビパルン,トゥビパルン,[tu⸢bi⸣ paruŋ]
サクラギラ,サクラギラ,[sḁ⸢ku⸣ragira]
タタムン,タタムン,[tḁ⸢ta⸣muŋ]
キムタラーシ,キムタラーシ,[ki⸢mutaraː⸣ʃi]
イビー,イビー,[ʔi⸢biː]
キヌシル,キーヌシル,[⸢kiː⸣nu ⸣ʃiru]
ントシ,ンドーシ,[n⸣doːʃi]
トオ,トー,[⸢to⸣ː]
ノーンシタンティン,ノーンシタンティン,[⸢noːŋ⸣ʃi̥tantiŋ]
ウダテイルン,ウダティルン,[ʔu⸢dati⸣ruŋ]
イッスクヒン,イッスクビン,[⸢ʔissu⸣kubiŋ]
イナカムニ,イナカムニ,[ʔi⸢nakamuni]
ヌズムン,ヌズムン,[nu⸢ʣumuŋ]
カヤー,カヤー,[⸣kajaː]
ムヌクウヤア,ムヌクーヤー,[mu⸢nukuː⸣jaː]
イン,イン,[⸢ʔiŋ]
パナシキウツァスン,パナシキウツァスン,[pa⸢naʃi̥ki⸣ ʔu⸢ʦa⸣suŋ]
フラブン,フラブン,[ɸu⸢rabuŋ]
ミツサヌ,ミーッサヌ,[⸢miːssa⸣nu]
デントウンテン,デントゥンテン,[⸢den⸣tunteŋ]
タブル,タブル,[ta⸢bu⸣ru]
パテイルマ,パティルマ,[pa⸢tiruma]
マナマムテイ,マナマムティ,[ma⸢na⸣mamuti]
ウシヌパ,ウシヌパー,[ʔu⸢ʃinu paː]
フチパヤーン,フチパヤーン,[ɸu̥⸢ʧipajaː⸣ŋ]
マジミルン,マジミルン,[ma⸢ʣimi⸣ruŋ]
ナーカウ,ナーカウ,[⸢naː⸣kau]
ガーパジン,ガーパジン,[⸣gaːpaʤiŋ]
タティザーク,タティザーク,[tḁ⸢tiʣaː⸣ku]
ユタンサン,ユダンサーン,[ju⸢dan⸣saːŋ]
アールティダ,アールティダ,[⸢ʔaːrutida]
フナヤア,フナヤー,[ɸu⸢na⸣jaː]
アヤメー,アヤメー,[⸣ʔajameː]
ニンゴオパナ,ニンゴーパナ,[⸢niŋgoː]
ダラッカダラッカ,ダラッカダラッカ,[da⸢rakkadarakka]
カニ,カニ,[ka⸢ni]
ピカ,ピーカー,[⸢piː⸣kaː]
ンーナテイイ,ンーナテイー,[⸢ʔnːnatiː]
ナアメエメエ,ナーメーメー,[⸢naː meːmeː]
ムラウチ,ムラウチ,[mu⸢raʔuʧi]
アタラサワレエ,アタラサワレー,[ʔa⸢tara⸣sawareː]
ミーシチカザ,ミーシチカザ,[⸢miːʃi̥ʧi⸣kaʣa]
スッカーマ,スッカーマ,[suk⸢kaː⸣ma]
キザアシ,キザーシ,[ki⸢ʣaːʃi]
ソーウキ,ソーウキ,[⸢soːʔuki]
シゥカ,シゥカ,[⸣si̥ka]
トゥシビー,トゥシビー,[tu̥⸢ʃi⸣biː]
ウトゥナッサン,ウトゥナッサン,[ʔu⸢tunas⸣saŋ]
ミシウカイヨ,ミーシゥカイヨー,[⸢miːsï̥kai⸣joː]
ユキ,ユキー,[ju⸢kiː]
キムヌソオ,キムヌソー,[ki⸢mu⸣nu ⸢soː]
シキフジルスン,シキフジルスン,[ʃi̥⸢kiɸuʤiru suŋ]
キンス,キンスー,[⸢kinsuː]
タユル,タユル,[ta⸢ju⸣ru]
ティーカイヤン,ティーカイヤン,[⸢tiːkai⸣jaŋ]
ナカンクシチ,ナカングシチ,[na⸢kaŋguʃi̥⸣ʧi]
カクルン,カクルン,[kḁ⸢ku⸣ruŋ]
パティムニ,パティムニ,[pa⸢ti⸣muni]
